进行	行进	761319892
上海	海上	480970000
中心	心中	477388646
生产	产生	413160942
音乐	乐音	361566456
朋友	友朋	357752484
发生	生发	296087294
说明	明说	283489178
喜欢	欢喜	281708640
部分	分部	244071132
实现	现实	239493064
语言	言语	239118942
谢谢	谢谢	238274572
作用	用作	189184500
故事	事故	186784572
爱情	情爱	185341210
达到	到达	178121616
看看	看看	176964398
产生	生产	175136518
会议	议会	168014420
哈哈	哈哈	165802848
办法	法办	155419840
科学	学科	153590064
身上	上身	152305920
中华	华中	149641280
加强	强加	149457732
力量	量力	144731458
开展	展开	134452320
人生	生人	132406332
形成	成形	132069252
心中	中心	121655044
来到	到来	120215888
数字	字数	117246416
回来	来回	113772912
面前	前面	113750816
开放	放开	111040772
理论	论理	110971996
妈妈	妈妈	110564100
统一	一统	109846366
感情	情感	103502450
本文	文本	101946928
等等	等等	100931064
机关	关机	99751360
发挥	挥发	98666274
现实	实现	97621026
发出	出发	97085756
寻找	找寻	96350048
基地	地基	95335820
证明	明证	95113744
兄弟	弟兄	95105888
人家	家人	94583694
经历	历经	94471946
女子	子女	88597686
好友	友好	86274742
明天	天明	82479896
制定	定制	82286154
计算	算计	80288668
女儿	儿女	80191086
法国	国法	78014900
痛苦	苦痛	70173426
少年	年少	69538122
事实	实事	68899058
人大	大人	68084856
文本	本文	67412416
姐姐	姐姐	67270326
下降	降下	66807422
情感	感情	65947718
愿意	意愿	63935372
前面	面前	63408570
展开	开展	62016384
上路	路上	61941246
爸爸	爸爸	61826288
天天	天天	61090054
事故	故事	59328890
哥哥	哥哥	57143018
感动	动感	56581538
大师	师大	56231486
背后	后背	56126904
妹妹	妹妹	54793010
宝宝	宝宝	54755774
打击	击打	54621540
犯罪	罪犯	53157174
房产	产房	52135762
石油	油石	51630616
引导	导引	51523426
眼泪	泪眼	49302944
大人	人大	48547066
答应	应答	48333484
提前	前提	47034602
存储	储存	46859522
到达	达到	46713068
演出	出演	46470712
微微	微微	46358692
出发	发出	44752650
情人	人情	44322932
得分	分得	43510108
远远	远远	41853222
家人	人家	41794322
恋爱	爱恋	41789308
日前	前日	41498722
地下	下地	40553526
线路	路线	40305586
点评	评点	40007618
到来	来到	39670908
海南	南海	38594696
士兵	兵士	38355280
证实	实证	38256170
学科	科学	37215512
期限	限期	36706708
路线	线路	36156422
四周	周四	36134092
缓缓	缓缓	35652994
楼上	上楼	34809776
仅仅	仅仅	34592806
想想	想想	34417584
询问	问询	34226176
放下	下放	34041624
权威	威权	33665630
种种	种种	33385278
蔬菜	菜蔬	33113406
警告	告警	32476552
试试	试试	31791874
旅行	行旅	31621228
运营	营运	31615090
路上	上路	31055738
负担	担负	30815006
前提	提前	30787134
家居	居家	30117500
成分	分成	29971326
地产	产地	29845714
报警	警报	29824962
生长	长生	29478252
称号	号称	29287520
带领	领带	29075358
弟弟	弟弟	29069090
税收	收税	29033136
积累	累积	28869522
应对	对应	28723542
年纪	纪年	28657870
爷爷	爷爷	28178472
法师	师法	28146086
公寓	寓公	28015700
错过	过错	27379680
粮食	食粮	27312744
鸡蛋	蛋鸡	26029480
评测	测评	25980984
产地	地产	25256330
代替	替代	24995572
图标	标图	24494960
星星	星星	24386282
弟子	子弟	24332662
手下	下手	24329754
爱心	心爱	24045764
友好	好友	23912776
聚会	会聚	23670050
娃娃	娃娃	23461264
风暴	暴风	23199572
回收	收回	22782120
悲伤	伤悲	22580556
火焰	焰火	22529068
子女	女子	22443848
国王	王国	22174128
演讲	讲演	21838228
唱歌	歌唱	21753930
奶奶	奶奶	21736390
收回	回收	21727148
水泥	泥水	21685988
风采	采风	21574518
人文	文人	21503808
时报	报时	21346710
对应	应对	21085002
聚集	集聚	20830034
斗争	争斗	20767302
太太	太太	20714018
继承	承继	20701376
天上	上天	20560216
文艺	艺文	20397760
奖金	金奖	20387344
路过	过路	20146416
牛奶	奶牛	20135782
替代	代替	19893734
国民	民国	19511586
乖乖	乖乖	19132602
象征	征象	19126318
入侵	侵入	19038856
言语	语言	18927392
叔叔	叔叔	18819594
分区	区分	18795020
储存	存储	18720414
联邦	邦联	18714112
动感	感动	18399136
外出	出外	18334900
液体	体液	18077130
楼下	下楼	17986160
字数	数字	17960266
下属	属下	17639206
定制	制定	17632682
阵阵	阵阵	17489314
门前	前门	17481382
王国	国王	17398340
街上	上街	17266340
关机	机关	17211358
放开	开放	17062948
补贴	贴补	16813846
谈谈	谈谈	16530372
途中	中途	16428090
心动	动心	16390538
样式	式样	16283494
叶子	子叶	16158058
分成	成分	16101240
女神	神女	16091402
散发	发散	16081144
变量	量变	15809290
骨头	头骨	15675220
来回	回来	15673002
星球	球星	15463954
事后	后事	15372204
语法	法语	15364006
中期	期中	15295462
海上	上海	15066480
屋里	里屋	15021408
变形	形变	14988916
下手	手下	14871268
评审	审评	14734214
笑笑	笑笑	14727572
协作	作协	14696340
年初	初年	14597120
民国	国民	14583664
婆婆	婆婆	14455768
世人	人世	14353976
安心	心安	14343332
难受	受难	14318028
流水	水流	14309492
争论	论争	14080578
运转	转运	14078732
南海	海南	13975258
导向	向导	13965316
火星	星火	13815684
心痛	痛心	13745726
汇总	总汇	13666990
子弹	弹子	13606896
态势	势态	13475804
场上	上场	13382052
上天	天上	13377298
欢喜	喜欢	13342246
往来	来往	12975140
富豪	豪富	12714068
为难	难为	12655544
光电	电光	12642658
本本	本本	12624698
区分	分区	12549226
号称	称号	12396232
乐器	器乐	12363952
房门	门房	12352842
脸红	红脸	12278160
土壤	壤土	12217704
声响	响声	12208328
张开	开张	12203922
地质	质地	12160386
半夜	夜半	12093276
救援	援救	12068510
动机	机动	11998168
马车	车马	11924064
白白	白白	11885880
报酬	酬报	11818240
书评	评书	11658728
儿女	女儿	11619942
意愿	愿意	11468786
等同	同等	11288068
党政	政党	11269418
累积	积累	11169082
客房	房客	11082906
去除	除去	10970624
歌唱	唱歌	10960448
牛肉	肉牛	10833212
商会	会商	10797496
期末	末期	10650910
时分	分时	10601822
同等	等同	10528998
分组	组分	10507996
滚滚	滚滚	10484834
开支	支开	10471868
孙子	子孙	10445216
假装	装假	10434398
词语	语词	10370388
上场	场上	10264378
熊猫	猫熊	10131538
养生	生养	10130004
历经	经历	10018652
察觉	觉察	9966106
名声	声名	9959872
球星	星球	9957664
周四	四周	9950774
保管	管保	9845720
闪闪	闪闪	9803242
面对面	面对面	9557116
升高	高升	9529336
备战	战备	9445530
瞧瞧	瞧瞧	9442740
测评	评测	9439860
开张	张开	9383666
产物	物产	9369284
除去	去除	9293230
议会	会议	9285860
向导	导向	9271524
急救	救急	9225016
法语	语法	9219182
白发	发白	9156982
传言	言传	9116222
手枪	枪手	9068220
亲亲	亲亲	9058010
装扮	扮装	9032434
找寻	寻找	8997568
流血	血流	8980124
机动	动机	8949936
处长	长处	8866046
顶尖	尖顶	8862090
时辰	辰时	8803946
聊聊	聊聊	8727112
逃脱	脱逃	8707128
营运	运营	8650832
离别	别离	8642032
来往	往来	8605396
填充	充填	8554348
出演	演出	8419690
子孙	孙子	8408982
中途	途中	8406096
质地	地质	8357034
延迟	迟延	8311310
子弟	弟子	8295348
属下	下属	8259542
走走	走走	8215050
蜂蜜	蜜蜂	8184068
人道	道人	8034420
逃出	出逃	7984376
护照	照护	7982574
动摇	摇动	7905210
年年	年年	7872230
护卫	卫护	7843510
历年	年历	7838668
猪肉	肉猪	7826718
居家	家居	7659164
油脂	脂油	7653870
色调	调色	7532596
养护	护养	7480950
文人	人文	7479510
上身	身上	7445560
糊糊	糊糊	7412480
光亮	亮光	7406436
绅士	士绅	7357130
人情	情人	7344332
水流	流水	7339088
寒风	风寒	7321740
华中	中华	7261144
糖果	果糖	7159418
用作	作用	7087298
理事	事理	7079024
半月	月半	7025480
限期	期限	6999522
门将	将门	6935328
当家	家当	6876422
出产	产出	6874266
师大	大师	6781252
力学	学力	6720026
由来	来由	6682106
罪犯	犯罪	6506446
情调	调情	6504846
侵入	入侵	6491136
矿工	工矿	6458572
下水	水下	6447086
枪手	手枪	6441172
暴风	风暴	6435484
乡下	下乡	6360962
过错	错过	6334132
爱恋	恋爱	6314532
下楼	楼下	6299204
部下	下部	6265542
品名	名品	6185530
警报	报警	6149308
缓和	和缓	6119062
积蓄	蓄积	6080592
生平	平生	6075100
清明	明清	6039186
犯人	人犯	6002396
低压	压低	5995262
火烧	烧火	5994212
座落	落座	5955356
年少	少年	5886564
弟兄	兄弟	5859146
争斗	斗争	5849346
